----Started ---Training ----------
Epoch: 0, loss: 0.58562
Epoch: 100, loss: 0.01662
Epoch: 200, loss: 0.01051
Epoch: 300, loss: 0.00326
Epoch: 400, loss: 0.00263
Epoch: 500, loss: 0.00234
Epoch: 600, loss: 0.00215
Epoch: 700, loss: 0.00200
Epoch: 800, loss: 0.00190
Epoch: 900, loss: 0.00182
Epoch: 1000, loss: 0.00176
Epoch: 1100, loss: 0.00172
Epoch: 1200, loss: 0.00169
Epoch: 1300, loss: 0.00167
Epoch: 1400, loss: 0.00165
Epoch: 1500, loss: 0.00164
Epoch: 1600, loss: 0.00163
Epoch: 1700, loss: 0.00162
Epoch: 1800, loss: 0.00162
Epoch: 1900, loss: 0.00161
